Kentucky Brunch Brand Stout	4.71231940648	4.75979435116	4.75849277626	4.78810360536	4.77381882077	1
Julius	4.46052891167	4.56446167824	4.55133623207	4.52578298397	4.54909728081	10
Bad Boy	4.23549515651	4.4735065247	4.39372908494	4.33622768393	4.39851252902	100
Fuzzy	4.35665384615	4.64247115385	4.60473076923	4.50863701923	4.60100480769	101
Notorious Triple IPA	4.24634308511	4.53681848404	4.51213430851	4.37030418883	4.47589760638	102
Morning Wood	4.51288128607	4.65776999176	4.66199505359	4.51432399011	4.68147155812	103
Weihenstephaner Hefeweissbier	4.35778366112	4.31660867373	4.35953605648	4.28809127584	4.52845940494	104
Chocolate Rain	3.89315021743	4.36832498486	4.36467826278	4.18812186932	4.22476798591	105
Dreadnaught IPA	4.24658519051	4.41085549964	4.40347386259	4.36263736264	4.36732309746	106
Stone Enjoy By IPA	4.18742462312	4.3433040201	4.2992839196	4.17287688442	4.2985678392	107
Cantillon Lou Pepe - Framboise	4.24775393419	4.3830758226	4.41266094421	4.28394849785	4.35723891273	108
Wide Awake It's Morning	3.99700822737	4.59568997756	4.39524121167	4.37172774869	4.39281039641	109
Bourbon County Brand Coffee Stout	4.18404737224	4.57012594589	4.60772830932	4.45100860371	4.44539805121	11
Matt	3.88101189761	4.51633217161	4.49765953611	4.18794616032	4.34534911669	110
Sculpin IPA	4.24267899643	4.40610620785	4.35845646569	4.19931822689	4.41805583102	111
Bourbon Barrel Aged Abominable: Coffee And Cinnamon	4.38627197935	4.515123407	4.54008711082	4.38389256332	4.50056460719	112
Samuel Adams Utopias	4.08304191028	4.43343259931	4.4759712584	4.29841265505	4.17799573794	113
Péché Mortel (Imperial Stout Au Cafe)	4.38245199634	4.34056944021	4.42331860205	4.30479528599	4.29643909377	114
Double Shot - Sumatra Mandheling	4.49585247575	4.58333333333	4.52935171006	4.45756763655	4.51505870342	115
Rodenbach Caractère Rouge	4.17673811743	4.40773473905	4.44766367661	4.35105952936	4.41042870457	116
Seventeen	4.33717373573	4.48827487765	4.51906606852	4.50050978793	4.55271207178	117
Hop JuJu Imperial IPA	4.23022765599	4.44505540834	4.41846543002	4.30903396772	4.38091423753	118
Hoppy Birthday	4.23185681937	4.37249724206	4.33395865993	4.23439702723	4.40988910178	119
Dinner	4.53196834502	4.68604737625	4.60991077119	4.57336944976	4.62470257064	12
Nelson	4.15534441196	4.38771349438	4.3049571729	4.13885469559	4.3649535826	120
Yellow Rose	4.25757625721	4.38461665293	4.38300906843	4.28373042045	4.38084501237	121
Citra Showers	4.33563819847	4.62848065782	4.53485329845	4.40861521211	4.49126331527	122
Edward	4.16027170989	4.31439309157	4.33107231249	4.25752232863	4.38063919079	123
Bourbon Barrel Champion Ground	4.56886422977	4.71268494343	4.65110966057	4.55265448216	4.60269799826	124
Saison Du Fermier	4.44600813356	4.51214683219	4.5729880137	4.50551155822	4.54291523973	125
Oro Negro	4.47665696373	4.51175548589	4.5684057322	4.50123152709	4.55206000896	126
Great	3.87331928489	4.47404323295	4.54490857182	4.26430222283	4.28692135137	127
All Green Everything	4.29350172712	4.50971502591	4.46297495682	4.38694588371	4.42094847438	128
Evil Twin Double Barrel Jesus	4.55057561673	4.47652306042	4.57090990347	4.54776010011	4.5187558098	129
Double Sunshine IPA	4.2767917847	4.51757136631	4.55516125518	4.37091632164	4.5420184136	13
Epiphany	4.19455271877	4.49902553109	4.48158253752	4.39310076009	4.45244591698	130
Exponential Hoppiness	4.19873329053	4.37982312766	4.36568209678	4.25179499154	4.27423968245	131
Peche 'n Brett	4.30658222333	4.48464459106	4.37562554463	4.36148076684	4.41616145898	132
Cascade Sang Noir	4.10122561012	4.31715436482	4.4377015335	4.23115579689	4.38541619428	133
See The Stars	4.64854227405	4.60874635569	4.69023323615	4.76545189504	4.66457725948	134
Drie Fonteinen Hommage	4.18456247961	4.3313324633	4.44934225122	4.35201761827	4.40798825449	135
AleSmith Speedway Stout	4.27809659091	4.33191890496	4.4843982438	4.38035640496	4.32662448347	136
Kuhnhenn Raspberry Eisbock	3.89276539974	4.50062909567	4.49273918742	4.31407601573	4.28352555701	137
Darkness - High West Rye Whiskey Barrel Aged (2014)	4.4369344236	4.42771524772	4.52712201379	4.43721500722	4.48106621773	138
Live Oak HefeWeizen	4.18165740273	4.25204929538	4.31853910505	4.25425298973	4.47093088541	139
Founders KBS (Kentucky Breakfast Stout)	4.32193045441	4.54532516156	4.62719253257	4.54581239101	4.46668889117	14
A Deal With The Devil	4.13082040105	4.38857977332	4.41872362685	4.42181865737	4.4054934612	140
Coriolis	4.43817283325	4.60904206792	4.51198175367	4.44172072985	4.54359604663	141
Cantillon Gueuze 100% Lambic	4.13044355882	4.30985973811	4.36786657005	4.26374411262	4.32291548057	142
Project Dank	4.25029208976	4.41996740629	4.42805315281	4.38273536417	4.43146922402	143
Upper Case	4.4647502217	4.62015962164	4.57582027786	4.43962459356	4.55786284363	144
Second Fiddle	4.30216598685	4.38180887372	4.3585216016	4.32901190377	4.33629567968	145
AleSmith Speedway Stout - Vietnamese Coffee	4.36148992277	4.39749011113	4.40528348088	4.45894236203	4.40092766999	146
Victory At Sea Coffee Vanilla Imperial Porter	4.27475976441	4.28559619756	4.30680409175	4.22274746849	4.20865623063	147
Cantillon Lou Pepe - Gueuze	4.08584021699	4.30862409074	4.37202564419	4.2242479349	4.41761188509	148
Tweak	4.31607207005	4.36381005837	4.33379490346	4.24887123934	4.31539851819	149
Barrel-Aged Abraxas	4.42669677039	4.67198488269	4.62074310396	4.54397860018	4.59757632276	15
